#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Aug  3 02:02:12 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2001:1203:1000:1a::2,entry is 5.102.108.221
2001:1225::2,entry is 89.45.209.142
2001:19f0:4400:6490:5400:6ff:fe36:a1c5,entry is 207.148.71.11
2001:19f0:8001:262:5400:4ff:fe3b:5fa6,entry is 45.63.38.134
2001:19f0:c800:232c:5400:4ff:fe4a:8ebe,entry is 64.176.6.165
2001:1b40:5000:90::5fb0:4d54,entry is 81.168.119.85
2001:1b40:5700:900a::1,entry is 76.144.40.133
2001:1b40:5700:90ee::1,entry is 76.144.40.133
2001:1b40:5700:940f::1,entry is 76.144.40.133
2001:1b40:5700:96f3::1,entry is 102.211.56.106
2001:1b40:5700:997d::1,entry is 76.144.40.133
2001:1b40:5700:9d15::1,entry is 76.144.40.133
2001:41d0:401:3000::1c34,entry is 54.38.35.209
2001:41d0:403:ce8::,entry is 51.255.131.164
2001:41d0:701:1100::2d7d,entry is 54.37.73.95
2001:41d0:701:1100::48d8,entry is 135.125.159.16
2001:648:2ffe:501:cc00:11ff:fef4:59d6,entry is 83.212.72.114
2001:67c:2044:1905:cc19:acff:fe63:8040,undocumented TOR exit
2001:910:1410:600::1,undocumented TOR exit
2001:df0:82c0:1::46,entry is 103.148.62.1
2001:df1:7880:101::caa,entry is 68.64.179.186
2001:df1:7880:3::40f,entry is 38.55.192.122
2001:df2:380:295::174,entry is 103.41.32.185
2001:df2:3a00:1000::2,entry is 103.113.3.22
2001:df3:e8c0:1300::1,undocumented TOR exit
2001:df3:e8c0:1400::1,entry is 160.250.54.7
2001:df6:3080:fff0::2,entry is 103.163.244.17
2003:a:4:e500:215:5dff:fe83:c00b,entry is 217.92.132.233
2400:6180:0:d2:0:2:eca7:f000,entry is 152.42.225.237
2400:65c0::25,entry is 103.26.110.209
2400:65c0::31,entry is 103.26.110.125
2400:65c0::5d,entry is 144.48.49.217
2400:7120::6,entry is 103.88.239.122
2400:8d60:9::2ee0:e82f,entry is 103.115.44.114
2400:e920:0:9::12,entry is 160.22.17.4
2400:f880:dbf:8a82::26f,entry is 149.104.4.88
2401:2960:8327:8888:be24:11ff:fea7:80dd,entry is 206.123.156.238
2401:5b60:0:1::f2,entry is 103.70.115.234
2401:b9e0::6,entry is 160.30.83.10
2401:c080:1400:7764:5400:6ff:fe16:7dd0,entry is 149.28.137.172
2402:1f00:8106:d100::,entry is 51.161.142.97
2402:e100:ff::2a,entry is 103.247.21.82
2402:e100:ff::2e,entry is 103.247.22.88
2402:e100:ff::86,entry is 103.173.140.133
2402:e100:ff::8a,entry is 103.247.21.254
2402:e100:ff::a,entry is 103.247.22.15
2403:27c0:c03:1::71,entry is 202.85.53.25
2404:97c0:3100:97c0::12,entry is 160.25.223.14
2405:b940:0:3::242,entry is 103.147.134.114
2405:c940::2,entry is 103.148.29.41
2406:2c0:11ff:1::6,entry is 103.138.145.102
2406:8140:0:22::46,entry is 103.156.75.49
2406:da14:cae:8f00:c254:766:dc29:37db,entry is 52.195.184.209
2406:da14:d37:d000:e09a:eb48:f69:eaa3,entry is 39.105.123.133
2406:da14:f58:f00:8120:8649:8f84:c154,entry is 3.112.210.73
2407:1c00:6100:4090::,entry is 206.123.156.227
2407:1c00:6300:3390::,entry is 206.123.156.220
2407:3640:2289:321::1,entry is 62.72.46.137
2407:b7c0:100::12e,entry is 103.48.71.166
2407:b7c0:100::132,entry is 103.48.71.170
2407:b7c0:100::56,entry is 103.48.70.161
2407:b7c0:100::6a,entry is 103.48.71.50
2407:b7c0:100::76,entry is 103.48.70.105
2407:b7c0:100::7a,entry is 103.48.68.11
2407:b7c0:100::82,entry is 103.48.71.126
240d:c000:f000:9200:2c38:126:8c5e:0,entry is 43.161.239.147
240d:c000:f000:a000:18aa:3bd2:252:0,entry is 43.161.222.173
2600:3c02::f03c:93ff:feaa:64b3,entry is 45.79.203.254
2600:3c13::2000:caff:fea2:d8f4,entry is 172.236.14.204
